CODIGO;DESCRIPCION;PVP;PVD
#AURA-041010130W;Luminaria Lineal de Empotrar. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1.128 mm.;317473;266268
#AURA-041010354W;Luminaria Lineal de Empotrar. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1.128 mm.;406116;340614
#AURA-041011531W;Luminaria Lineal de Empotrar. LED 35W. 110-277V. 5.000?K. Dim. 0-10V. 1128 mm. C;332952;279250
#AURA-061013230W;Luminaria Lineal de Incrustar. LED 50W. 4.000?K. Dim. 0-10V. 110-277V. 1680 mm.;382744;321011
#AURA-S-041010111B;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1.128 mm;319345;267837
#AURA-S-041010111W;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1.128 mm;302478;253692
#AURA-S-041010153B;Luminaria Lineal de Sobreponer. LED 50W. 3.000?K. Dim. 0-10V. 110-277V. 1128 mm.;312025;261698
#AURA-S-041010355B;Luminaria Lineal de Sobreponer. LED 54W. 110-277V. 5.000?K. Dim. 0-10V. 1.128 mm;385522;323341
#AURA-S-041011330B;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. DALI. 1.128 mm. Colo;330371;277085
#AURA-S-041011353B;Luminaria Lineal de Sobreponer. LED 50W. 3.000?K. DALI. 120-277V. 1128 mm. Color;348037;291902
#AURA-S-041011530B;Luminaria Lineal de Sobreponer. LED 35W. 110-277V. 4.000?K. Dim. 0-10V. 1.128 mm;297930;249877
#AURA-S-041011553B;Luminaria Lineal de Sobreponer. LED 35W. 110-277V. 3.000?K. Dim. 0-10V. 1.128 mm;319948;268343
#AURA-S-041011711W;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1.128 mm;357337;299702
#AURA-S-041013211W;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1128;269152;225741
#AURA-S-041013230B;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 4.000?K. Dim. 0-10V. 1.128 mm;257308;215807
#AURA-S-041013232W;Luminaria Lineal de Sobreponer. LED 50W. 110-277V. 3.000?K. Dim. 0-10V. 1128;288984;242374
#AURA-S-041013253B;Luminaria Lineal de Sobreponer. LED 50W. 3.000?K. Dim. 0-10V. 110-277V. 1128 mm.;283679;237925
